iter	Passed	Remaining
0	2	215
1	3	169
2	4	154
3	5	141
4	7	149
5	8	139
6	9	130
7	10	122
8	11	114
9	11	107
10	12	101
11	13	96
12	13	91
13	14	87
14	14	84
15	15	80
16	15	77
17	16	75
18	17	72
19	17	70
20	18	68
21	18	66
22	19	64
23	19	62
24	20	61
25	20	59
26	21	58
27	22	56
28	22	55
29	23	54
30	23	53
31	24	51
32	25	50
33	25	49
34	26	48
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	29
56	38	29
57	39	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
